Self-Reported Gross Floor Area (ft²),,,,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water Use Intensity (All Water Sources) (gal/ft²),log_Water Use Intensity (All Water Sources) (gal/ft²),score
169416,,,,138.4,141,21.46,3.066190737,90
94380,,,,43.5,46.8,1.09,0.086177696,100
125000,,,,271.1,274.7,86.1,4.455509411,83
50000,,,,163,167.9,15.8,2.76000994,27
50000,,,,64.2,64.2,2.86,1.050821625,99
200000,,,,99.2,103.2,5.02,1.613429934,37
100000,,,,8.9,10.1,3.48,1.247032294,100
721396,,,,62.1,61.7,3.33,1.202972304,97
127500,,,,111.8,115.4,61.23,4.114637265,72
319967,,,,110.8,114.7,40.21,3.694115721,76
120200,,,,89.9,88.9,10.21,2.323367632,90
913378,,,,222,222.8,22.26,3.102791346,64
387664,,,,163.1,166,16.33,2.793003907,89
269470,,,,134.4,135.8,17.81,2.879760097,95
120200,,,,89.9,88.9,10.21,2.323367632,90
120200,,,,89.9,88.9,10.21,2.323367632,90
137200,,,,191.9,199.2,64.81,4.171459912,70
200000,,,,207,207.9,0.84,-0.174353387,59
75000,,,,79.9,79.9,62.38,4.133244711,97
104500,,,,92.2,100.4,76.9,4.342505877,91
120700,,,,168.7,173.7,68.52,4.227125673,4
120700,,,,168.7,173.7,68.52,4.227125673,4
88000,,,,42.8,42.8,3.33,1.202972304,83
28581,,,,81.7,81.7,11.58,2.449279472,96
163197,,,,61.8,65.8,36.81,3.605769547,100
77000,,,,98.4,103.9,106.94,4.67226793,72
63000,,,,84.5,89.7,39.05,3.664842876,91
121680,,,,82.9,87.8,47.98,3.870784257,89
57036,,,,98.2,105.2,35.16,3.559909073,82
71620,,,,117.6,126.3,90.24,4.502472788,52
1910503,,,,164.7,168.1,10.95,2.393339456,86
47896,,,,68.3,72.5,46.52,3.839882328,98
139824,,,,140.8,147.8,21.09,3.048798994,87
64377,,,,65.6,71.7,3057.85,8.025467334,94
310000,,,,178.5,179.5,21.91,3.086943154,87
50934,,,,104.2,106.5,43.94,3.782825067,65
84000,,,,135.9,134.2,0.68,-0.385662481,76
84000,,,,135.9,134.2,0.68,-0.385662481,76
84000,,,,135.9,134.2,0.68,-0.385662481,76
120200,,,,89.9,88.9,10.21,2.323367632,90
70700,,,,169.3,172.8,200.54,5.301013728,45
442000,,,,236.6,235.8,177.82,5.180771803,30
127338,,,,47.5,48.3,30.59,3.420673158,100
1158407,,,,146.9,151,13.8,2.624668592,88
479349,,,,175,177.3,12.07,2.490723035,79
818729,,,,179.4,182.9,15.39,2.733717948,81
1158407,,,,146.9,151,13.8,2.624668592,88
670212,,,,129.5,130.6,15.68,2.752386015,88
455058,,,,182.1,184.7,14.66,2.685122696,75
2851447,,,,178.6,182.8,32.74,3.488597572,86
60000,,,,126.3,131.9,56.83,4.040064355,46
75000,,,,79.9,79.9,62.38,4.133244711,97
675086,,,,187,188.3,26.72,3.285412349,87
60000,,,,152,157.2,12.97,2.562638998,67
240040,,,,108.7,116.2,30.33,3.412137322,59
88000,,,,42.8,42.8,3.33,1.202972304,83
63780,,,,143,149.4,96.64,4.570992734,19
80857,,,,103.1,107.4,42.99,3.760967531,88
415172,,,,127.4,133.9,46.67,3.84310156,49
60000,,,,234.8,237.5,18.6,2.923161581,39
61620,,,,438.2,437.6,20.76,3.033028058,3
103248,,,,112.6,117.1,68.76,4.230622181,53
61200,,,,138,144.6,57.99,4.060270582,23
60000,,,,168.3,174.4,42.01,3.737907685,6
61000,,,,196.3,202.8,58.11,4.062337766,3
24849,,,,92.3,97.2,28.39,3.34603697,88
587000,,,,244.6,246.4,38.74,3.656872658,58
565000,,,,189.8,194.5,24.52,3.199489111,70
39614,,,,374.4,402.3,14.31,2.660958594,12
54187,,,,72,75.9,51.47,3.940999114,97
55442,,,,37,39.4,8.92,2.188295947,100
54187,,,,72,75.9,51.47,3.940999114,97
48000,,,,6.3,6.4,62.84,4.140591813,100
49200,,,,88.2,93.8,68.91,4.232801305,83
75000,,,,205.3,208.2,107.85,4.680741373,46
127338,,,,47.5,48.3,30.59,3.420673158,100
1158407,,,,146.9,151,13.8,2.624668592,88
84368,,,,136.4,140.4,98.69,4.591983624,41
121664,,,,117.6,121.8,97,4.574710979,66
76440,,,,101,107.4,48.6,3.883623531,74
480359,,,,121.1,128.6,68.22,4.222737777,65
480359,,,,121.1,128.6,68.22,4.222737777,65
51956,,,,157,156,13.59,2.609334228,63
111667,,,,241.8,257.1,132.62,4.887487896,23
208203,,,,234,238,25.2,3.226843995,85
28726,,,,82.4,82.5,75.88,4.329153145,95
24723,,,,183.4,183.3,77.43,4.349374302,5
34176,,,,97.3,98.9,44.04,3.785098312,73
255544,,,,146.2,149.9,38.29,3.645188765,90
151559,,,,274.8,275.6,19.9,2.990719732,47
27326,,,,116.1,115.6,68.88,4.23236586,69
1437148,,,,213.3,213.3,33.92,3.524004811,65
1757325,,,,184.5,187.5,12,2.48490665,77
39614,,,,374.4,402.3,14.31,2.660958594,12
170000,,,,219.9,220.6,28.69,3.35654863,61
170000,,,,228.3,229.6,28.69,3.35654863,57
27920,,,,6.8,7.1,0.94,-0.061875404,100
60450,,,,125.5,123.5,18.77,2.932259851,86
122330,,,,183.6,180.9,32.96,3.495294705,70
100000,,,,117.1,120.2,25.54,3.240245851,50
105000,,,,128.3,129.6,190,5.247024072,87
27000,,,,116.3,126.9,43.68,3.776890331,93
41000,,,,239.4,238.9,444.8,6.097624743,1
98495,,,,134.9,138,48.29,3.8772245,58
153761,,,,189.6,188.2,57.85,4.057853454,42
130000,,,,326.4,331.1,89.87,4.498364182,20
157462,,,,229.1,234.3,52.92,3.968781339,60
100000,,,,117.1,120.2,25.54,3.240245851,50
100000,,,,117.1,120.2,25.54,3.240245851,50
86000,,,,136.1,139.8,29.7,3.391147046,35
48000,,,,76,82.2,62.84,4.140591813,94
40206,,,,116.8,121.5,53.84,3.986016685,86
90633,,,,80.1,79,194.72,5.271562629,97
593872,,,,96.5,98.5,3.8,1.335001067,95
53837,,,,88.3,93.7,135.24,4.907050978,84
172225,,,,91.9,95.7,32.98,3.495901317,80
320000,,,,236.8,239.6,81.66,4.402564286,45
174137,,,,109.3,114.5,9.85,2.287471455,99
1072213,,,,189.6,191.6,13.1,2.57261223,81
93838,,,,185.3,188.2,41.76,3.731938944,71
90633,,,,80.1,79,194.72,5.271562629,97
58862,,,,267.5,269,6.39,1.854734268,24
58862,,,,267.5,269,6.39,1.854734268,24
70038,,,,126.5,128.2,15.77,2.758109401,23
177350,,,,133.7,139.1,3.02,1.105256831,26
461959,,,,193.5,191.8,67.25,4.208417018,4
104951,,,,167.4,170.7,42.67,3.753496097,6
78010,,,,140,139.9,40.68,3.705736571,78
893750,,,,282,283.2,74.13,4.305820309,14
51000,,,,220.8,225,4.76,1.560247668,41
96440,,,,135.5,141,33.64,3.515715835,92
246547,,,,164.9,166.1,28.13,3.336836623,85
270564,,,,127.7,129.9,13.85,2.628285233,92
370000,,,,124.8,127.2,15.01,2.708716646,93
246000,,,,156.2,155.8,25.11,3.223266173,85
515672,,,,127,128.2,22.35,3.106826321,90
58909,,,,134.6,138.9,10.86,2.385086315,76
69400,,,,141.7,143.3,57.59,4.053348942,70
1910503,,,,164.7,168.1,10.95,2.393339456,86
56000,,,,22,23.7,278.57,5.629669374,96
43000,,,,92.5,94.5,451.25,6.11202151,98
40000,,,,108.9,111.3,6.35,1.848454813,16
38000,,,,85.8,87.6,3.02,1.105256831,87
187000,,,,201.2,201.1,94.52,4.548811452,57
80000,,,,68.9,71.6,0.33,-1.108662625,66
187000,,,,201.2,201.1,94.52,4.548811452,57
502581,,,,518.3,524,10.09,2.311544834,96
83000,,,,64.8,64.8,163.18,5.094853886,100
63000,,,,138.6,142.6,113.69,4.733475446,39
64000,,,,56.7,57,143.51,4.966404719,100
78372,,,,74.8,74,100.8,4.613138356,98
62524,,,,57.6,57.1,74.08,4.30514559,100
299552,,,,170.9,172.5,26.97,3.294725137,83
50310,,,,151,157.3,122.9,4.811371017,48
57000,,,,100.4,103.8,61.13,4.113002744,76
37500,,,,100.1,103.5,85.39,4.447228998,65
28000,,,,117.3,121.8,77.07,4.3447141,48
42820,,,,137.8,148.7,60.58,4.103964806,48
64358,,,,53.8,56.8,75.91,4.329548428,98
68400,,,,87.5,92.2,49.54,3.902780424,84
54491,,,,143.1,154.7,71.29,4.266756065,19
91682,,,,96.3,97.5,29.37,3.379973745,78
91000,,,,106.2,112.8,76.92,4.342765921,82
802690,,,,184.2,187.5,13.92,2.633326655,81
130096,,,,153,154.9,65.32,4.179298268,58
350000,,,,194.4,192.8,42.1,3.740047741,42
66230,,,,150.2,156.3,92.84,4.530877581,48
97000,,,,129.4,131.8,106.77,4.670676988,74
498531,,,,132.6,132.6,26.26,3.268046869,91
67751,,,,259.2,255.4,46.39,3.837083919,40
168600,,,,52.6,52.6,1.55,0.438254931,100
54756,,,,119.1,122.8,6.92,1.93441577,90
54756,,,,119.1,122.8,6.92,1.93441577,90
55000,,,,31.8,31.9,7.64,2.033397603,91
114500,,,,209.6,210.5,52.11,3.953356869,49
165000,,,,203.7,210.2,77.87,4.35504077,24
1811610,,,,274.8,279.9,30.06,3.403195384,57
31430,,,,103,108.4,119.44,4.782814153,71
426287,,,,125.6,126,12,2.48490665,89
624631,,,,160.7,161.9,10.33,2.335052283,72
38150,,,,17.6,17.7,45.87,3.825811309,100
153821,,,,99.8,100,30.39,3.414113607,95
152439,,,,102.4,103.8,14.93,2.703372612,95
79050,,,,219.8,222,93.35,4.53635587,49
67500,,,,111.8,117.8,18.88,2.938103161,84
145000,,,,101.2,105.2,29.22,3.374853406,84
105846,,,,106.4,109.6,61.12,4.112839145,75
71550,,,,102.6,106.8,25.4,3.234749174,57
85900,,,,216.2,222.8,16.82,2.822568655,28
85900,,,,216.2,222.8,16.82,2.822568655,28
202618,,,,89.1,92.2,67.48,4.211831258,91
93170,,,,126.2,129.7,0.96,-0.040821995,61
75548,,,,60.7,62.7,49.32,3.898329678,99
46667,,,,133.1,139.5,92.93,4.531846522,42
276663,,,,61.8,61.8,69.47,4.240895005,100
50535,,,,86.3,89.7,39.66,3.680343123,85
62459,,,,79,84.6,55.51,4.016563185,96
31221,,,,103.3,107.1,22.4,3.109060959,71
80000,,,,124.8,131.8,43.1,3.763522997,67
111854,,,,171.6,179.6,30.86,3.429460847,5
30850,,,,131.2,138.4,90.57,4.506123032,46
39400,,,,164,171.5,58.62,4.071075935,2
39261,,,,101.8,107,45.58,3.819469024,82
43500,,,,124.3,128.5,117.12,4.76319905,56
57600,,,,4.7,4.7,47.65,3.86388263,100
107000,,,,119.5,123.6,4.13,1.418277407,10
89013,,,,212.9,217.1,60.75,4.106767082,65
129520,,,,168,171,0.3,-1.203972804,82
249000,,,,131.2,130.2,21.44,3.065258336,93
83268,,,,132.8,137.1,70.37,4.253767036,54
60402,,,,155.3,166.4,81.13,4.396052806,36
